relative_path,filename,dimensions_x_y_z,triangles,candidate_categories
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_1_A_Color1.gltf,Bush_1_A_Color1.gltf,0.267 x 0.234 x 0.227,72,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_1_B_Color1.gltf,Bush_1_B_Color1.gltf,0.722 x 0.722 x 0.484,168,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_1_C_Color1.gltf,Bush_1_C_Color1.gltf,1.204 x 1.204 x 0.807,168,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_1_D_Color1.gltf,Bush_1_D_Color1.gltf,1.567 x 1.567 x 0.994,168,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_1_E_Color1.gltf,Bush_1_E_Color1.gltf,1.575 x 1.317 x 0.808,552,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_1_F_Color1.gltf,Bush_1_F_Color1.gltf,2.283 x 1.879 x 0.994,576,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_1_G_Color1.gltf,Bush_1_G_Color1.gltf,3.104 x 1.748 x 0.994,984,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_2_A_Color1.gltf,Bush_2_A_Color1.gltf,0.528 x 0.528 x 0.528,44,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_2_B_Color1.gltf,Bush_2_B_Color1.gltf,0.858 x 0.858 x 0.858,108,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_2_C_Color1.gltf,Bush_2_C_Color1.gltf,1.32 x 1.32 x 1.32,108,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_2_D_Color1.gltf,Bush_2_D_Color1.gltf,1.572 x 1.018 x 0.858,196,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_2_E_Color1.gltf,Bush_2_E_Color1.gltf,2.348 x 2.006 x 1.332,476,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_2_F_Color1.gltf,Bush_2_F_Color1.gltf,2.007 x 1.594 x 1.792,368,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_3_A_Color1.gltf,Bush_3_A_Color1.gltf,1.033 x 1.033 x 0.485,208,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_3_B_Color1.gltf,Bush_3_B_Color1.gltf,1.683 x 1.683 x 0.804,240,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_3_C_Color1.gltf,Bush_3_C_Color1.gltf,2.49 x 2.49 x 1.151,272,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_4_A_Color1.gltf,Bush_4_A_Color1.gltf,0.577 x 0.577 x 0.434,44,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_4_B_Color1.gltf,Bush_4_B_Color1.gltf,0.991 x 0.991 x 0.743,44,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_4_C_Color1.gltf,Bush_4_C_Color1.gltf,1.581 x 1.581 x 1.302,108,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_4_D_Color1.gltf,Bush_4_D_Color1.gltf,1.741 x 1.287 x 0.743,132,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_4_E_Color1.gltf,Bush_4_E_Color1.gltf,2.696 x 2.279 x 1.302,284,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Bush_4_F_Color1.gltf,Bush_4_F_Color1.gltf,3.392 x 2.139 x 1.302,284,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_A_Color1.gltf,Grass_1_A_Color1.gltf,0.339 x 0.152 x 0.559,44,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_A_Singlesided_Color1.gltf,Grass_1_A_Singlesided_Color1.gltf,0.287 x 0.127 x 0.559,14,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_B_Color1.gltf,Grass_1_B_Color1.gltf,0.505 x 0.556 x 0.537,132,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_B_Singlesided_Color1.gltf,Grass_1_B_Singlesided_Color1.gltf,0.512 x 0.533 x 0.52,42,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_C_Color1.gltf,Grass_1_C_Color1.gltf,0.752 x 0.717 x 0.583,396,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_C_Singlesided_Color1.gltf,Grass_1_C_Singlesided_Color1.gltf,0.734 x 0.725 x 0.58,126,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_D_Color1.gltf,Grass_1_D_Color1.gltf,1.081 x 1.178 x 0.589,528,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_D_Singlesided_Color1.gltf,Grass_1_D_Singlesided_Color1.gltf,1.042 x 1.186 x 0.584,168,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_Mesh.gltf,Grass_1_Mesh.gltf,0.339 x 0.152 x 0.559,44,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_1_SingleSided_Mesh.gltf,Grass_1_SingleSided_Mesh.gltf,0.287 x 0.127 x 0.559,14,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_A_Color1.gltf,Grass_2_A_Color1.gltf,0.155 x 0.254 x 0.919,44,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_A_Singlesided_Color1.gltf,Grass_2_A_Singlesided_Color1.gltf,0.155 x 0.227 x 0.919,14,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_B_Color1.gltf,Grass_2_B_Color1.gltf,0.403 x 0.397 x 0.919,132,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_B_Singlesided_Color1.gltf,Grass_2_B_Singlesided_Color1.gltf,0.384 x 0.378 x 0.919,42,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_C_Color1.gltf,Grass_2_C_Color1.gltf,0.896 x 0.757 x 0.935,528,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_C_Singlesided_Color1.gltf,Grass_2_C_Singlesided_Color1.gltf,0.872 x 0.738 x 0.934,168,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_D_Color1.gltf,Grass_2_D_Color1.gltf,1.104 x 1.366 x 0.935,528,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_D_Singlesided_Color1.gltf,Grass_2_D_Singlesided_Color1.gltf,1.083 x 1.343 x 0.934,168,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_Mesh.gltf,Grass_2_Mesh.gltf,0.155 x 0.254 x 0.919,44,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Grass_2_SingleSided_Mesh.gltf,Grass_2_SingleSided_Mesh.gltf,0.155 x 0.227 x 0.919,14,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_A_Color1.gltf,Rock_1_A_Color1.gltf,0.578 x 0.608 x 0.54,48,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_B_Color1.gltf,Rock_1_B_Color1.gltf,0.551 x 0.578 x 0.54,48,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_C_Color1.gltf,Rock_1_C_Color1.gltf,0.519 x 0.605 x 0.54,48,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_D_Color1.gltf,Rock_1_D_Color1.gltf,0.927 x 1.157 x 1.13,84,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_E_Color1.gltf,Rock_1_E_Color1.gltf,1.0 x 1.085 x 1.13,84,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_F_Color1.gltf,Rock_1_F_Color1.gltf,1.0 x 0.866 x 1.13,84,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_G_Color1.gltf,Rock_1_G_Color1.gltf,1.745 x 1.65 x 1.868,104,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_H_Color1.gltf,Rock_1_H_Color1.gltf,1.532 x 1.532 x 1.868,104,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_I_Color1.gltf,Rock_1_I_Color1.gltf,1.605 x 1.999 x 1.868,104,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_J_Color1.gltf,Rock_1_J_Color1.gltf,3.391 x 3.757 x 3.356,521,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_K_Color1.gltf,Rock_1_K_Color1.gltf,3.689 x 3.13 x 3.648,529,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_L_Color1.gltf,Rock_1_L_Color1.gltf,3.294 x 2.622 x 3.399,494,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_M_Color1.gltf,Rock_1_M_Color1.gltf,3.905 x 2.711 x 3.516,528,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_N_Color1.gltf,Rock_1_N_Color1.gltf,2.305 x 2.243 x 4.498,355,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_1_O_Color1.gltf,Rock_1_O_Color1.gltf,2.11 x 2.11 x 4.577,223,rocks
