relative_path,filename,dimensions_x_y_z,triangles,candidate_categories
Models/objects/gltf/archeryrange.gltf.glb,archeryrange.gltf.glb,1.802 x 1.551 x 1.538,1668,gates
Models/objects/gltf/barracks.gltf.glb,barracks.gltf.glb,1.989 x 1.61 x 1.299,1960,houses
Models/objects/gltf/bridge.gltf.glb,bridge.gltf.glb,2.0 x 0.744 x 0.777,252,water/coasts
Models/objects/gltf/bridge_roofed.gltf.glb,bridge_roofed.gltf.glb,2.091 x 0.744 x 1.326,480,water/coasts
Models/objects/gltf/castle.gltf.glb,castle.gltf.glb,1.805 x 1.852 x 2.533,2231,houses
Models/objects/gltf/detail_forestA.gltf.glb,detail_forestA.gltf.glb,1.841 x 1.183 x 0.734,2900,trees/vegetation; props
Models/objects/gltf/detail_forestB.gltf.glb,detail_forestB.gltf.glb,1.853 x 1.359 x 0.739,1878,trees/vegetation; props
Models/objects/gltf/detail_hill.gltf.glb,detail_hill.gltf.glb,1.819 x 1.589 x 1.101,1677,cliffs/high ground; props
Models/objects/gltf/detail_rocks.gltf.glb,detail_rocks.gltf.glb,1.892 x 1.33 x 0.564,1102,rocks; props
Models/objects/gltf/detail_rocks_small.gltf.glb,detail_rocks_small.gltf.glb,0.646 x 0.529 x 0.212,552,rocks; props
Models/objects/gltf/detail_treeA.gltf.glb,detail_treeA.gltf.glb,0.594 x 0.392 x 0.78,287,trees/vegetation; props
Models/objects/gltf/detail_treeB.gltf.glb,detail_treeB.gltf.glb,0.487 x 0.344 x 0.727,579,trees/vegetation; props
Models/objects/gltf/detail_treeC.gltf.glb,detail_treeC.gltf.glb,0.536 x 0.422 x 0.757,337,trees/vegetation; props
Models/objects/gltf/farm_plot.gltf.glb,farm_plot.gltf.glb,1.473 x 1.283 x 0.457,906,houses
Models/objects/gltf/forest.gltf.glb,forest.gltf.glb,1.93 x 1.896 x 1.36,2328,trees/vegetation
Models/objects/gltf/house.gltf.glb,house.gltf.glb,1.687 x 1.656 x 0.914,1666,houses
Models/objects/gltf/lumbermill.gltf.glb,lumbermill.gltf.glb,1.824 x 1.657 x 1.47,1698,houses
Models/objects/gltf/market.gltf.glb,market.gltf.glb,1.47 x 1.674 x 0.864,1924,houses
Models/objects/gltf/mill.gltf.glb,mill.gltf.glb,1.687 x 1.668 x 1.982,2270,houses
Models/objects/gltf/mine.gltf.glb,mine.gltf.glb,1.615 x 1.883 x 0.829,1735,
Models/objects/gltf/mountain.gltf.glb,mountain.gltf.glb,1.788 x 1.907 x 1.217,986,cliffs/high ground
Models/objects/gltf/wall_corner.gltf.glb,wall_corner.gltf.glb,1.378 x 1.378 x 1.152,456,walls
Models/objects/gltf/wall_gate.gltf.glb,wall_gate.gltf.glb,2.0 x 0.534 x 1.152,972,walls; gates
Models/objects/gltf/wall_gate_closed.gltf.glb,wall_gate_closed.gltf.glb,2.0 x 0.534 x 1.152,996,walls; gates
Models/objects/gltf/wall_hexCornerA.gltf.glb,wall_hexCornerA.gltf.glb,1.581 x 1.278 x 1.152,482,walls
Models/objects/gltf/wall_hexCornerB.gltf.glb,wall_hexCornerB.gltf.glb,1.365 x 1.278 x 1.152,350,walls
Models/objects/gltf/wall_straight.gltf.glb,wall_straight.gltf.glb,2.0 x 0.534 x 1.152,478,walls
Models/objects/gltf/watchtower.gltf.glb,watchtower.gltf.glb,0.971 x 1.713 x 1.978,1871,
Models/objects/gltf/watermill.gltf.glb,watermill.gltf.glb,1.534 x 1.42 x 1.597,1605,houses; water/coasts
Models/objects/gltf/well.gltf.glb,well.gltf.glb,1.018 x 1.018 x 0.737,1252,props
Models/tiles/hex/gltf/hex_forest.gltf.glb,hex_forest.gltf.glb,2.0 x 2.309 x 1.0,56,trees/vegetation
Models/tiles/hex/gltf/hex_forest_detail.gltf.glb,hex_forest_detail.gltf.glb,2.0 x 2.309 x 1.0,92,trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadA.gltf.glb,hex_forest_roadA.gltf.glb,2.0 x 2.309 x 1.0,286,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadA_detail.gltf.glb,hex_forest_roadA_detail.gltf.glb,2.0 x 2.309 x 1.0,322,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadB.gltf.glb,hex_forest_roadB.gltf.glb,2.0 x 2.309 x 1.0,204,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadB_detail.gltf.glb,hex_forest_roadB_detail.gltf.glb,2.0 x 2.309 x 1.0,240,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadC.gltf.glb,hex_forest_roadC.gltf.glb,2.0 x 2.309 x 1.0,202,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadC_detail.gltf.glb,hex_forest_roadC_detail.gltf.glb,2.0 x 2.309 x 1.0,238,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadD.gltf.glb,hex_forest_roadD.gltf.glb,2.0 x 2.309 x 1.0,222,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadD_detail.gltf.glb,hex_forest_roadD_detail.gltf.glb,2.0 x 2.309 x 1.0,258,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadE.gltf.glb,hex_forest_roadE.gltf.glb,2.0 x 2.309 x 1.0,294,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadE_detail.gltf.glb,hex_forest_roadE_detail.gltf.glb,2.0 x 2.309 x 1.0,330,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadF.gltf.glb,hex_forest_roadF.gltf.glb,2.0 x 2.309 x 1.0,318,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadF_detail.gltf.glb,hex_forest_roadF_detail.gltf.glb,2.0 x 2.309 x 1.0,354,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadG.gltf.glb,hex_forest_roadG.gltf.glb,2.0 x 2.309 x 1.0,292,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadG_detail.gltf.glb,hex_forest_roadG_detail.gltf.glb,2.0 x 2.309 x 1.0,328,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadH.gltf.glb,hex_forest_roadH.gltf.glb,2.0 x 2.309 x 1.0,334,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadH_detail.gltf.glb,hex_forest_roadH_detail.gltf.glb,2.0 x 2.309 x 1.0,370,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadI.gltf.glb,hex_forest_roadI.gltf.glb,2.0 x 2.309 x 1.0,384,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadI_detail.gltf.glb,hex_forest_roadI_detail.gltf.glb,2.0 x 2.309 x 1.0,420,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadJ.gltf.glb,hex_forest_roadJ.gltf.glb,2.0 x 2.309 x 1.0,404,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadJ_detail.gltf.glb,hex_forest_roadJ_detail.gltf.glb,2.0 x 2.309 x 1.0,440,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadK.gltf.glb,hex_forest_roadK.gltf.glb,2.0 x 2.309 x 1.0,444,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadK_detail.gltf.glb,hex_forest_roadK_detail.gltf.glb,2.0 x 2.309 x 1.0,480,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadL.gltf.glb,hex_forest_roadL.gltf.glb,2.0 x 2.309 x 1.0,610,roads; trees/vegetation
Models/tiles/hex/gltf/hex_forest_roadL_detail.gltf.glb,hex_forest_roadL_detail.gltf.glb,2.0 x 2.309 x 1.0,646,roads; trees/vegetation; props
Models/tiles/hex/gltf/hex_forest_roadM.gltf.glb,hex_forest_roadM.gltf.glb,2.0 x 2.309 x 1.0,628,roads; trees/vegetation
